id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
528958,20000.0,3,9.99,645.25,B,B3,29744.0,1 year,1,90000.0,1,2015-10-01,1,0,111.0,8,26.27,0.0,670.0,674.0,14.0,0.0,0.0,15835.0,54.0,22.0,1,0,Nov-2007,0.0,1.0,0.0,8.0,11.0,11.0,10.0,10.0,9.0,11.0,13.0,11.0,14.0,,0.0,0.0,4.0
132342,25975.0,5,19.03,674.24,D,D3,286.0,3 years,0,65000.0,2,2017-06-01,1,10,109.0,21,18.33,0.0,690.0,694.0,9.0,0.0,0.0,15206.0,76.4,20.0,0,0,Jul-1996,11.0,1.0,2.0,3.0,4.0,4.0,5.0,9.0,3.0,7.0,14.0,4.0,9.0,0.0,0.0,0.0,0.0
61660,6000.0,3,9.75,192.9,B,B3,14169.0,1 year,1,30000.0,1,2016-05-01,0,0,495.0,14,17.16,0.0,660.0,664.0,9.0,1.0,1.0,5766.0,20.5,18.0,0,0,Mar-2004,2.0,1.0,0.0,4.0,4.0,4.0,4.0,9.0,5.0,7.0,12.0,4.0,9.0,0.0,0.0,0.0,2.0
94975,25000.0,5,24.85,731.59,E,E3,38504.0,10+ years,1,58361.0,1,2017-10-01,1,4,63.0,14,20.46,0.0,745.0,749.0,7.0,0.0,0.0,428.0,17.1,9.0,0,0,Aug-2007,4.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,7.0,0.0,0.0,0.0,5.0
515529,9600.0,3,5.32,289.11,A,A1,151384.0,10+ years,2,154000.0,1,2016-03-01,0,8,223.0,12,7.55,0.0,725.0,729.0,14.0,0.0,0.0,37678.0,50.1,34.0,0,0,Apr-1986,9.0,1.0,0.0,4.0,6.0,6.0,7.0,11.0,5.0,10.0,19.0,6.0,14.0,0.0,0.0,0.0,2.0
787011,3000.0,3,12.12,99.82,B,B3,333907.0,6 years,1,90000.0,0,2012-09-01,0,5,698.0,35,20.68,0.0,680.0,684.0,13.0,0.0,0.0,34209.0,77.4,43.0,1,0,Jun-1992,6.0,1.0,0.0,3.0,8.0,8.0,4.0,9.0,15.0,12.0,27.0,8.0,13.0,0.0,0.0,0.0,0.0
420823,6800.0,3,17.09,242.75,D,D1,54.0,,2,18587.59,0,2018-01-01,1,4,237.0,32,19.51,1.0,710.0,714.0,14.0,0.0,0.0,4228.0,15.0,20.0,1,0,Oct-1990,4.0,1.0,0.0,3.0,4.0,4.0,5.0,7.0,2.0,13.0,18.0,4.0,14.0,0.0,0.0,0.0,2.0
271833,9000.0,3,12.99,303.21,C,C1,227.0,7 years,0,66000.0,2,2014-10-01,1,2,222.0,12,1.64,0.0,660.0,664.0,3.0,0.0,0.0,2577.0,46.9,12.0,0,0,Jul-2006,5.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,6.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0
751678,23000.0,3,6.17,701.48,A,A3,235066.0,10+ years,0,98000.0,2,2011-01-01,1,0,60.0,30,20.85,0.0,780.0,784.0,20.0,0.0,0.0,12575.0,12.9,38.0,1,0,Feb-1975,3956.0,1.0,,,,,,,,,,,,,,,
436323,8000.0,3,10.49,259.99,B,B3,16659.0,9 years,1,35000.0,1,2014-11-01,0,4,177.0,26,11.83,0.0,660.0,664.0,8.0,1.0,0.0,4911.0,65.1,14.0,0,0,Jun-2000,4.0,1.0,1.0,0.0,7.0,7.0,0.0,2.0,1.0,8.0,13.0,7.0,8.0,0.0,0.0,0.0,1.0
550429,24000.0,3,26.3,970.82,E,E5,535.0,1 year,0,60000.0,0,2017-08-01,0,2,88.0,32,21.9,0.0,680.0,684.0,19.0,0.0,0.0,22772.0,46.5,35.0,1,0,Sep-1977,5.0,1.0,6.0,6.0,13.0,13.0,6.0,6.0,15.0,17.0,18.0,13.0,19.0,0.0,0.0,0.0,11.0
502683,10000.0,3,11.39,329.24,B,B3,54.0,,0,39000.0,0,2016-10-01,1,0,104.0,23,19.17,0.0,665.0,669.0,5.0,9.0,1.0,8610.0,66.7,14.0,0,0,Jan-1986,0.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0
708757,7000.0,3,9.75,225.05,B,B3,246.0,2 years,0,33000.0,0,2016-03-01,1,0,16.0,5,23.64,0.0,695.0,699.0,19.0,0.0,0.0,14372.0,43.4,48.0,0,0,May-2000,0.0,1.0,0.0,7.0,10.0,10.0,11.0,23.0,13.0,17.0,32.0,10.0,19.0,0.0,0.0,0.0,3.0
621804,10000.0,3,13.99,341.73,C,C3,8882.0,10+ years,1,82000.0,1,2016-07-01,1,4,346.0,24,13.48,0.0,700.0,704.0,14.0,1.0,1.0,11800.0,36.9,37.0,0,0,May-2003,4.0,1.0,0.0,5.0,7.0,7.0,5.0,7.0,16.0,13.0,20.0,7.0,14.0,0.0,0.0,0.0,5.0
478966,8000.0,5,13.98,186.07,C,C3,220558.0,3 years,0,97000.0,2,2010-09-01,1,0,166.0,8,3.13,0.0,695.0,699.0,9.0,0.0,0.0,14424.0,72.1,32.0,1,0,Jun-1993,2909.0,1.0,,,,,,,,,,,,,,,
499184,20000.0,3,17.86,721.65,D,D5,580.0,< 1 year,0,77000.0,2,2015-02-01,0,0,31.0,2,24.18,0.0,665.0,669.0,35.0,0.0,0.0,40736.0,56.7,52.0,1,0,May-1988,0.0,1.0,0.0,9.0,16.0,16.0,13.0,18.0,8.0,30.0,39.0,16.0,35.0,0.0,0.0,0.0,10.0
125349,18000.0,3,14.65,620.9,C,C5,48412.0,3 years,1,60000.0,1,2015-09-01,0,0,136.0,8,11.42,0.0,675.0,679.0,10.0,0.0,0.0,19503.0,46.2,14.0,0,0,Sep-2000,0.0,1.0,0.0,4.0,4.0,4.0,5.0,7.0,5.0,6.0,9.0,4.0,10.0,0.0,0.0,0.0,1.0
750050,19500.0,5,16.59,480.34,D,D1,3681.0,10+ years,1,72000.0,1,2014-05-01,1,0,832.0,24,29.7,0.0,690.0,694.0,12.0,0.0,0.0,20981.0,82.6,20.0,0,0,Mar-1998,0.0,1.0,0.0,3.0,9.0,9.0,3.0,6.0,6.0,9.0,14.0,9.0,12.0,0.0,0.0,0.0,1.0
379786,2000.0,3,10.99,65.47,B,B3,38.0,10+ years,0,66000.0,0,2014-05-01,0,3,103.0,36,15.29,0.0,735.0,739.0,8.0,0.0,0.0,31886.0,50.1,30.0,0,0,Feb-1991,3.0,1.0,0.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0,15.0,3.0,8.0,0.0,0.0,0.0,1.0
626507,20000.0,3,12.99,673.79,C,C1,8343.0,6 years,0,260000.0,1,2014-10-01,1,0,31.0,2,11.57,0.0,690.0,694.0,12.0,0.0,0.0,23922.0,53.5,19.0,1,0,Dec-2000,0.0,1.0,0.0,3.0,4.0,4.0,3.0,5.0,9.0,5.0,9.0,4.0,12.0,0.0,0.0,0.0,5.0
